service_id,date,exception_type
"T5","20251225","2"
"T5","20260101","2"
"T5","20260126","2"
"T6","20251226","2"
"UH","20251201","2"
"UH","20251208","2"
"UH","20251215","2"
"UH","20251222","2"
"UH","20251229","2"
"UH","20260105","2"
"UH","20260112","2"
"UH","20260119","2"
"UH","20260202","2"
"UH","20260209","2"
"UH","20260216","2"
"UH","20260223","2"
"UI","20251128","2"
"UI","20251205","2"
"UI","20251212","2"
"UI","20251219","2"
"UI","20260102","2"
"UI","20260109","2"
"UI","20260116","2"
"UI","20260123","2"
"UI","20260130","2"
"UI","20260206","2"
"UI","20260213","2"
"UI","20260220","2"
"UI","20260227","2"
"UL","20251204","2"
"UL","20251211","2"
"UL","20251218","2"
"UL","20260101","2"
"UL","20260108","2"
"UL","20260115","2"
"UL","20260122","2"
"UL","20260129","2"
"UL","20260205","2"
"UL","20260212","2"
"UL","20260219","2"
"UL","20260226","2"
"UX","20251204","2"
"UX","20251211","2"
"UX","20251218","2"
"UX","20251225","2"
"UX","20260108","2"
"UX","20260115","2"
"UX","20260122","2"
"UX","20260129","2"
"UX","20260205","2"
"UX","20260212","2"
"UX","20260219","2"
"UX","20260226","2"
