service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF10-21-663-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-664-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-671-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-672-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-677-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-679-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-681-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-682-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-688-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-689-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-690-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-691-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-694-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-695-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-697-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-699-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-732-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-734-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-735-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-736-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-737-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-738-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-740-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-742-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-745-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-753-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-754-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-755-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-757-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-758-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-765-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF10-21-967-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF10-22-688-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF10-22-695-aus","1","0","1","0","0","0","0","20251201","20260301"
"MF10-22-697-aus","1","0","1","0","0","0","0","20251201","20260301"
"MF10-22-699-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF10-36-444-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-453-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-454-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-455-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-456-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-457-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-458-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF10-36-459-aus","1","1","1","1","1","0","0","20251201","20260301"
