stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"1000","1000","Dole Ave/Cheddar Rd","-37.70077481","145.01895105","","","0","Level 0",""
"10001","10001","Rex St/Taylors Rd","-37.72697521","144.77615243","","","0","Level 0",""
"10002","10002","Yuille St/Centenary Ave","-37.67615950","144.59578941","","","0","Level 0",""
"10009","10009","Gum Rd/Main Rd West","-37.74149711","144.77589939","","","0","Level 0",""
"1001","1001","Lloyd Ave/Cheddar Rd","-37.69918301","145.01968529","","","0","Level 0",""
"10010","10010","Kings Rd/Main Rd West","-37.74194553","144.78008474","","","0","Level 0",""
"10011","10011","Moffat St/Main Rd West","-37.74232460","144.78346650","","","0","Level 0",""
"10012","10012","Washington St/Main Rd West","-37.74279566","144.78791229","","","0","Level 0",""
"10013","10013","Kate St/Main Rd West","-37.74356938","144.79457342","","","0","Level 0",""
"10014","10014","Raleighs Rd/Centenary Ave","-37.67530436","144.58877643","","","0","Level 0",""
"10016","10016","Melton Cemetery/O'Neills Rd","-37.67498051","144.57825444","","","0","Level 0",""
"10017","10017","Swan St/O'Neills Rd","-37.67875895","144.57750796","","","0","Level 0",""
"10018","10018","Reservoir SC/Broadway","-37.71712122","145.00978028","","","0","Level 0",""
"10019","10019","Northumberland Rd/Pascoe St","-37.71628650","144.93404411","","","0","Level 0",""
"1002","1002","Liston Ave/Cheddar Rd","-37.69744778","145.02100173","","","0","Level 0",""
"10020","10020","Westbreen PS/Pascoe St","-37.71655281","144.93638502","","","0","Level 0",""
"10021","10021","Joffre Rd/Boundary Rd","-37.71691492","144.94008463","","","0","Level 0",""
"10022","10022","Kent Rd/Cumberland Rd","-37.72071084","144.94019503","","","0","Level 0",""
"10023","10023","Warwick Rd/Cumberland Rd","-37.72220292","144.93997217","","","0","Level 0",""
"10025","10025","Daley St/Cumberland Rd","-37.72501492","144.93947446","","","0","Level 0",""
"10026","10026","Pleasant St/Cumberland Rd","-37.72711752","144.93912119","","","0","Level 0",""
"10027","10027","Olive Gr/Cumberland Rd","-37.72922911","144.93876764","","","0","Level 0",""
"10028","10028","Gaffney St/Cumberland Rd","-37.73216543","144.93816426","","","0","Level 0",""
"10029","10029","Pardy St/Cumberland Rd","-37.73392851","144.93797918","","","0","Level 0",""
"1003","1003","Keon Pde/Dalton Rd","-37.69504181","145.02316385","","","0","Level 0",""
"10030","10030","Eastgate St/Cumberland Rd","-37.73550025","144.93767458","","","0","Level 0",""
"10031","10031","Bell St/Cumberland Rd","-37.73761144","144.93729826","","","0","Level 0",""
"10032","10032","Balmoral Ave/Bell St","-37.73879226","144.94195215","","","0","Level 0",""
"10033","10033","Royal Pde/Bell St","-37.73940394","144.94705314","","","0","Level 0",""
"10034","10034","Davis St/Bell St","-37.73979317","144.95077590","","","0","Level 0",""
"10035","10035","Linsey St/Bell St","-37.74008605","144.95362754","","","0","Level 0",""
"10036","10036","Kelson St/Bell St","-37.74032576","144.95601539","","","0","Level 0",""
"10037","10037","Nelson St/Bell St","-37.74071785","144.95991974","","","0","Level 0",""
"10038","10038","Coburg Cemetery/Bell St","-37.74310506","144.98236979","","","0","Level 0",""
"10039","10039","Tasman St/Bell St","-37.74354790","144.98560348","","","0","Level 0",""
"1004","1004","Wood St/Dalton Rd","-37.69200770","145.02548993","","","0","Level 0",""
"10040","10040","Gilbert Rd/Bell St","-37.74397544","144.98952991","","","0","Level 0",""
"10041","10041","Erin St/Bell St","-37.74427667","144.99292640","","","0","Level 0",""
"10042","10042","Penola St/Bell St","-37.74455323","144.99593772","","","0","Level 0",""
"10043","10043","High St/Bell St","-37.74516150","145.00203840","","","0","Level 0",""
"10044","10044","Plenty Rd/Bell St","-37.74548267","145.00503725","","","0","Level 0",""
"10045","10045","Panch Health Service/Bell St","-37.74582045","145.00848964","","","0","Level 0",""
"10047","10047","O'Keefe St/Bell St","-37.74650014","145.01458863","","","0","Level 0",""
"10048","10048","Liberty Pde/Bell St","-37.74941940","145.03714180","","","0","Level 0",""
"10049","10049","Oriel Rd/Bell St","-37.74972949","145.03952840","","","0","Level 0",""
"1005","1005","Settlement Rd/Dalton Rd","-37.68827471","145.02806113","","","0","Level 0",""
"10050","10050","Plunkett St/Bell St","-37.75031340","145.04266824","","","0","Level 0",""
"10051","10051","Melbourne Polytechnic/Bell St ","-37.75103120","145.04519170","","","0","Level 0",""
"10052","10052","Gotha St/Bell St","-37.75189457","145.04780220","","","0","Level 0",""
"10053","10053","Austin Repat MC/Bell St","-37.75267606","145.04982469","","","0","Level 0",""
"10054","10054","Myrtle St/Bell St","-37.75384072","145.05267710","","","0","Level 0",""
"10055","10055","Warringal SC/Cape St","-37.75559602","145.06733017","","","0","Level 0",""
"10056","10056","Heidelberg Primary School/Darebin St ","-37.75455865","145.06946836","","","0","Level 0",""
"10057","10057","Brown St/Rosanna Rd","-37.75210398","145.07036072","","","0","Level 0",""
"10058","10058","Reid St/Rosanna Rd","-37.75001084","145.07076694","","","0","Level 0",""
"10059","10059","St James Rd/Rosanna Rd","-37.74857343","145.07104262","","","0","Level 0",""
"1006","1006","Alison St/Dalton Rd","-37.68400281","145.02912680","","","0","Level 0",""
"10060","10060","Station Rd/Rosanna Rd","-37.74569732","145.07151451","","","0","Level 0",""
"10061","10061","Millicent St/Lower Plenty Rd","-37.74048948","145.06938001","","","0","Level 0",""
